Designator,Val,Package,Mid X (mm),Mid Y (mm),Rotation,Layer
"J17","503480-0600","MOLEX_503480-0600",77.5614,115.3363,90.0,Top
"MIC1","ICS-43434","SPH0645LM4H-B",75.8469,110.9548,-90.0,Top
"C30","100nF","C_0402_1005Metric",105.3744,111.0082,90.0,Top
"J5","503480-0600","MOLEX_503480-0600",107.0381,115.3516,-90.0,Top
"MIC2","ICS-43434","SPH0645LM4H-B",108.7526,110.9701,90.0,Top
"J18","ECG_RIGHT_LEG","ECG_SNAP",99.5680,137.6680,0.0,Top
"J10","503480-0400","MOLEX_503480-0400",99.5680,128.1430,180.0,Top
"D3","MBR0540T1G","D_SOD-123",79.8830,83.4390,-90.0,Top
"C3","1uF","C_0402_1005Metric",73.0758,93.0910,180.0,Bottom
"R4","100K","R_0402_1005Metric",87.8840,93.5990,0.0,Bottom
"U2","LP5907MFX-3_3_NOPB","SOT-23-5",70.2818,94.3102,-90.0,Bottom
"U7","LP5907MFX-1.8/NOPB","SOT-23-5",84.7598,94.3102,-90.0,Bottom
"C23","100nF","C_0402_1005Metric",93.7870,116.7663,90.0,Bottom
"C22","10uF","C_0402_1005Metric",95.0570,116.7663,90.0,Bottom
"C5","10uF","C_0402_1005Metric",93.7870,114.6073,90.0,Bottom
"C8","100nF","C_0402_1005Metric",95.0570,114.6073,90.0,Bottom
"C9","10uF","C_0402_1005Metric",96.9620,114.6073,90.0,Bottom
"R10","10M","R_0402_1005Metric",95.9460,120.3223,-90.0,Bottom
"R16","45.3K","R_0402_1005Metric",90.8660,120.3223,-90.0,Bottom
"R15","45.3K","R_0402_1005Metric",92.1360,120.3223,-90.0,Bottom
"C10","100nF","C_0402_1005Metric",98.2320,114.6073,90.0,Bottom
"C11","1uF","C_0402_1005Metric",97.5970,113.0833,180.0,Bottom
"J9","503480-0400","MOLEX_503480-0400",99.6290,120.0683,180.0,Bottom
"J16","503480-0600","MOLEX_503480-0600",84.2416,75.4710,180.0,Bottom
"R9","10M","R_0402_1005Metric",94.6760,120.3223,90.0,Bottom
"C4","1uF","C_0402_1005Metric",73.0758,94.3356,0.0,Bottom
"C7","4.7uF","C_0402_1005Metric",87.8840,96.1390,0.0,Bottom
"R3","10K","R_0402_1005Metric",87.8840,94.8690,180.0,Bottom
"U4","MCP73831T-2ACI/OT","SOT-23-5",75.8698,94.3102,-90.0,Bottom
"C13","47nF","C_0402_1005Metric",98.2259,116.7689,-90.0,Bottom
"C14","47nF","C_0402_1005Metric",96.9653,116.7689,-90.0,Bottom
"C12","1uF","C_0402_1005Metric",93.4060,120.3223,90.0,Bottom
"P6","HORIZON MEDICAL LOGO","horizon_logo_silk_small",98.7552,86.6902,180.0,Bottom
"C6","4.7uF","C_0402_1005Metric",87.8840,92.3290,0.0,Bottom
"C31","100pF","C_0402_1005Metric",73.0758,95.5802,180.0,Bottom
"R1","100K","R_0402_1005Metric",89.7890,93.5990,0.0,Bottom
"R2","100K","R_0402_1005Metric",89.7890,94.8690,0.0,Bottom
"J11","5034801400","5034801400",87.9450,116.2583,0.0,Bottom
"J2","SM02B-SRSS-TB(LF)(SN)","JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal",96.1284,94.2603,-90.0,Bottom
"Q1","CSD23280F3","TRANS_CSD23280F3",91.9480,94.2086,-90.0,Bottom
